# 2023.03.08 [*] created by TopoDroid v 5.1.40
# Grotte_du_Prayet_3
40,ENT5,ENT6,11.253,218.03,16.83,1.27,16726.00,2547.00,82.24,1678193023,0,08:3A:F2:66:3F:C2,-1,0,0,0,
41,,,11.243,219.05,16.80,1.19,16712.00,2604.00,82.19,1678193023,0,08:3A:F2:66:3F:C2,2,0,1,0,
42,,,11.275,217.66,16.94,1.15,16729.00,2554.00,82.12,1678193024,0,08:3A:F2:66:3F:C2,2,0,1,0,
43,ENT6,,4.949,72.20,16.44,353.45,16765.00,5289.00,89.99,1678193175,0,08:3A:F2:66:3F:C2,2,0,0,0,
44,ENT6,,13.291,293.06,12.77,1.70,16731.00,4280.00,91.27,1678193175,0,08:3A:F2:66:3F:C2,2,0,0,0,
45,ENT6,,5.422,108.20,87.98,246.18,16418.00,3938.00,23.97,1678193175,0,08:3A:F2:66:3F:C2,2,0,0,0,
46,ENT6,,0.744,31.84,-82.36,44.09,16383.00,8261.00,69.98,1678193176,0,08:3A:F2:66:3F:C2,2,0,0,0,
47,ENT6,ENT7,8.485,159.01,34.44,346.90,16696.00,3006.00,50.44,1678193176,0,08:3A:F2:66:3F:C2,1,0,0,0,
48,,,8.486,158.41,34.41,345.79,16710.00,3019.00,50.35,1678193177,0,08:3A:F2:66:3F:C2,2,0,1,0,
49,,,8.484,159.21,34.35,345.04,16724.00,3048.00,50.09,1678193177,0,08:3A:F2:66:3F:C2,2,0,1,0,
50,ENT7,,0.393,115.31,4.74,15.11,16620.00,4040.00,94.39,1678193365,0,08:3A:F2:66:3F:C2,2,0,0,0,
51,ENT7,,20.574,288.43,-6.15,354.11,16762.00,4990.00,92.21,1678193366,0,08:3A:F2:66:3F:C2,2,0,0,0,
52,ENT7,,0.505,141.21,76.29,353.21,16532.00,4331.00,23.96,1678193367,0,08:3A:F2:66:3F:C2,2,0,0,0,
53,ENT7,,1.612,228.37,-87.75,91.04,16369.00,8005.00,62.27,1678193367,0,08:3A:F2:66:3F:C2,2,0,0,0,
54,ENT7,ENT8,12.610,221.90,6.36,0.41,16747.00,2920.00,90.57,1678193367,0,08:3A:F2:66:3F:C2,2,0,0,0,
55,ENT7,,99.990,222.59,6.30,4.07,16706.00,2928.00,89.99,1678193368,0,08:3A:F2:66:3F:C2,2,0,0,1,
56,,,12.616,223.46,6.35,6.27,16708.00,2889.00,89.03,1678193368,0,08:3A:F2:66:3F:C2,2,0,1,0,
57,,,12.610,223.24,6.43,6.32,16726.00,2909.00,88.91,1678193368,0,08:3A:F2:66:3F:C2,2,0,1,0,
58,ENT8,,3.032,244.54,-8.49,358.09,16750.00,4102.00,93.15,1678193464,0,08:3A:F2:66:3F:C2,2,0,0,0,
59,ENT8,,2.078,87.38,14.82,355.12,16773.00,4979.00,87.96,1678193465,0,08:3A:F2:66:3F:C2,2,0,0,0,
60,ENT8,,0.590,181.17,78.23,6.32,16469.00,4156.00,21.25,1678193465,0,08:3A:F2:66:3F:C2,2,0,0,0,
61,ENT8,,1.238,252.31,-85.78,344.87,16342.00,7241.00,77.76,1678193465,0,08:3A:F2:66:3F:C2,2,0,0,0,
62,ENT8,ENT9,7.723,314.74,-9.54,354.48,16768.00,5733.00,89.98,1678193466,0,08:3A:F2:66:3F:C2,2,0,0,0,
63,,,7.725,311.65,-9.34,354.14,16767.00,5649.00,89.99,1678193466,0,08:3A:F2:66:3F:C2,2,0,0,0,
64,,,7.727,312.84,-9.50,354.16,16764.00,5700.00,89.99,1678193466,0,08:3A:F2:66:3F:C2,2,0,1,0,
65,ENT9,,3.135,227.07,-2.38,1.29,16756.00,3515.00,91.98,1678193566,0,08:3A:F2:66:3F:C2,2,0,0,0,
66,ENT9,,15.047,62.07,11.04,0.80,16748.00,5396.00,91.65,1678193566,0,08:3A:F2:66:3F:C2,2,0,0,0,
67,ENT9,,3.896,330.94,75.20,3.58,16472.00,2253.00,70.91,1678193566,0,08:3A:F2:66:3F:C2,2,0,0,0,
68,ENT9,,1.564,218.51,-66.85,39.91,16398.00,6518.00,77.80,1678193567,0,08:3A:F2:66:3F:C2,2,0,0,0,
69,ENT9,ENT10,8.316,300.54,-23.23,356.75,16657.00,5970.00,87.72,1678193567,0,08:3A:F2:66:3F:C2,-1,0,0,0,
70,,,8.318,301.39,-23.27,356.86,16676.00,6004.00,87.54,1678193568,0,08:3A:F2:66:3F:C2,2,0,1,0,
71,,,8.316,301.61,-23.24,357.12,16669.00,6002.00,87.47,1678193568,0,08:3A:F2:66:3F:C2,2,0,1,0,
72,ENT10,,99.990,71.24,5.09,348.69,16775.00,5851.00,86.81,1678193812,0,08:3A:F2:66:3F:C2,2,0,0,1,
73,ENT10,,25.841,72.13,4.33,348.37,16773.00,5867.00,86.59,1678193812,0,08:3A:F2:66:3F:C2,2,0,0,1,
74,ENT10,,99.990,44.42,-8.70,1.06,16707.00,6449.00,89.21,1678193813,0,08:3A:F2:66:3F:C2,2,0,0,2,
75,00,ENT11,31.017,45.05,-9.46,0.83,16729.00,6496.00,88.48,1678193813,0,08:3A:F2:66:3F:C2,1,0,0,0,
76,,,31.404,44.76,-9.64,0.83,16728.00,6603.00,87.11,1678193813,0,08:3A:F2:66:3F:C2,2,0,1,0,
77,,,31.415,44.76,-9.51,355.35,16730.00,6576.00,86.95,1678193858,0,08:3A:F2:66:3F:C2,2,0,1,0,
