# 2023.03.08 [*] created by TopoDroid v 5.1.40
# Grotte_du_Prayet_5
1,00,ENT1,12.550,36.90,-1.80,0.00,0.00,0.00,0.00,1678196840,1,-,1,0,0,0,Proto Houdeau Jaune
2,ENT1,ENT2,6.800,37.80,-3.60,0.00,0.00,0.00,0.00,1678197122,1,-,1,0,0,0,
3,ENT2,ENT3,9.380,63.00,-25.20,0.00,0.00,0.00,0.00,1678197327,1,-,1,0,0,0,
4,ENT3,ENT4,7.410,66.60,-0.90,0.00,0.00,0.00,0.00,1678197503,1,-,1,0,0,0,
5,ENT4,ENT5,5.460,156.60,-0.90,0.00,0.00,0.00,0.00,1678197626,1,-,0,0,0,0,
6,ENT5,ENT6,11.390,216.00,15.30,0.00,0.00,0.00,0.00,1678197839,1,-,-1,0,0,0,
7,ENT6,ENT7,8.580,164.70,30.60,0.00,0.00,0.00,0.00,1678198057,1,-,0,0,0,0,
8,ENT8,ENT7,12.700,44.10,-7.20,0.00,0.00,0.00,0.00,1678198295,1,-,1,0,0,0,
9,ENT8,ENT9,7.850,302.40,-18.90,0.00,0.00,0.00,0.00,1678198396,1,-,-1,0,0,0,
10,ENT9,ENT10,8.380,286.20,21.60,0.00,0.00,0.00,0.00,1678198558,1,-,-1,0,0,0,
