

*SVYNAM SECTION001
*DATEUR 22/07/2021
*SVYCOM  ;Explo 1 : 22/07/2021 Guy L / Brigitte A / Eric R / Laurent S / Alex;D:\01 Synology Drive [Blade 15
*SVYTEA                                         
*UNITS INCLINATION D
*UNITS COMPASS D
*UNITS LENGTH M
*DIVING N
*DimInStation T
*DECLIN TO ADD 2.24
; FROM TO LENGTH BEARING INC LEFT UP DOWN RIGHT FLAGS COMMENTS
00	00	0.00	0.00  	0.00  	1.03	0.93	0.98	0.96	;Point 00 Entrée vertical falaise;D:\01 Synology Drive [Blade 15]\00 A Classer sur [Cloud]\Grotte En sait tout (39)\P1020159.JPG
E15	E16	3.32	99.50 	-26.60	0.28	0.25	1.65	0.17	
E16	*	0.29	12.30 	5.40  	*	*	*	*	
E16	*	0.25	201.90	7.00  	*	*	*	*	
E16	*	1.65	335.10	86.80 	*	*	*	*	
E16	*	0.18	182.40	-75.30	*	*	*	*	
E16	E17	2.44	129.90	10.90 	0.20	0.58	2.39	0.22	
E17	*	0.20	92.00 	3.30  	*	*	*	*	
E17	*	0.63	288.60	0.50  	*	*	*	*	
E17	*	2.40	277.10	85.00 	*	*	*	*	
E17	*	0.22	254.50	-79.60	*	*	*	*	
E17	E18	1.57	223.30	81.50 	0.31	1.11	0.91	1.72	;Petite salle;
E18	*	0.39	80.60 	14.30 	*	*	*	*	
E18	*	1.19	273.20	-1.60 	*	*	*	*	
E18	*	0.91	310.00	86.70 	*	*	*	*	
E18	*	1.73	102.70	-83.90	*	*	*	*	
E18	E19	2.39	186.00	2.80  	0.45	0.28	0.79	2.52	
E19	*	0.48	63.60 	4.10  	*	*	*	*	
E19	*	0.29	253.90	-9.40 	*	*	*	*	
E19	*	0.81	62.30 	76.90 	*	*	*	*	
E19	*	2.52	59.60 	-86.60	*	*	*	*	
E19	E20	2.61	159.00	-48.00	0.31	0.18	2.27	1.28	
E20	*	0.33	27.90 	2.20  	*	*	*	*	
E20	*	0.18	223.90	-4.60 	*	*	*	*	
E20	*	2.27	160.00	87.30 	*	*	*	*	
E20	*	1.30	24.70 	-80.00	*	*	*	*	
E20	E21	2.95	119.60	7.80  	0.19	0.66	2.04	1.76	
E21	*	0.20	63.80 	8.40  	*	*	*	*	
E21	*	0.66	254.40	-3.60 	*	*	*	*	
E21	*	2.04	242.30	87.20 	*	*	*	*	
E21	*	1.77	121.00	-83.10	*	*	*	*	
